ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q8TAM1	uniprotkb:Q6ZW61	uniprotkb:Q96CW2|uniprotkb:Q9H5D2|ensembl:ENSP00000497413.1|intact:EBI-6128013|uniprotkb:Q8TAM1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:bbs10_human(display_short)|psi-mi:Bardet-Biedl syndrome 10 protein(display_long)|uniprotkb:C12orf58(gene name synonym)|uniprotkb:BBS10(gene name)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15826767|dip:DIP-191289E|imex:IM-21310-2	intact-miscore:0.58
uniprotkb:Q6ZW61	uniprotkb:Q8TAM1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:Q96CW2|uniprotkb:Q9H5D2|ensembl:ENSP00000497413.1|intact:EBI-6128013|uniprotkb:Q8TAM1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:bbs10_human(display_short)|psi-mi:Bardet-Biedl syndrome 10 protein(display_long)|uniprotkb:C12orf58(gene name synonym)|uniprotkb:BBS10(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15826832|dip:DIP-191290E|imex:IM-21310-5	intact-miscore:0.58
uniprotkb:Q8TAM1	uniprotkb:Q6ZW61	uniprotkb:Q96CW2|uniprotkb:Q9H5D2|ensembl:ENSP00000497413.1|intact:EBI-6128013|uniprotkb:Q8TAM1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:bbs10_human(display_short)|psi-mi:Bardet-Biedl syndrome 10 protein(display_long)|uniprotkb:C12orf58(gene name synonym)|uniprotkb:BBS10(gene name)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15827036|dip:DIP-191289E|imex:IM-21310-14	intact-miscore:0.58
uniprotkb:Q6ZW61	uniprotkb:Q8TAM1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:Q96CW2|uniprotkb:Q9H5D2|ensembl:ENSP00000497413.1|intact:EBI-6128013|uniprotkb:Q8TAM1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:bbs10_human(display_short)|psi-mi:Bardet-Biedl syndrome 10 protein(display_long)|uniprotkb:C12orf58(gene name synonym)|uniprotkb:BBS10(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15827166|dip:DIP-191304E|imex:IM-21310-19	intact-miscore:0.58
uniprotkb:Q8TAM1	uniprotkb:Q6ZW61	uniprotkb:Q96CW2|uniprotkb:Q9H5D2|ensembl:ENSP00000497413.1|intact:EBI-6128013|uniprotkb:Q8TAM1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:bbs10_human(display_short)|psi-mi:Bardet-Biedl syndrome 10 protein(display_long)|uniprotkb:C12orf58(gene name synonym)|uniprotkb:BBS10(gene name)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:"MI:0071"(molecular sieving)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15827219|dip:DIP-191292E|imex:IM-21310-21	intact-miscore:0.58
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15826832|dip:DIP-191290E|imex:IM-21310-5	intact-miscore:0.83
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15826926|dip:DIP-191297E|imex:IM-21310-9	intact-miscore:0.83
uniprotkb:Q9NPJ1	uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15826947|dip:DIP-191291E|imex:IM-21310-10	intact-miscore:0.83
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15827142|dip:DIP-191297E|imex:IM-21310-18	intact-miscore:0.83
uniprotkb:Q6ZW61	uniprotkb:Q9NPJ1	uniprotkb:Q8NAB8|uniprotkb:D3DNX5|uniprotkb:Q7Z342|uniprotkb:Q7Z482|ensembl:ENSP00000319062.3|ensembl:ENSP00000438273.1|intact:EBI-6128352|uniprotkb:Q6ZW61	uniprotkb:A8K7B0|uniprotkb:D3DW18|ensembl:ENSP00000246062.4|ensembl:ENSP00000382008.2|ensembl:ENSP00000498849.1|intact:EBI-721319|uniprotkb:Q9NPJ1	psi-mi:bbs12_human(display_short)|psi-mi:Bardet-Biedl syndrome 12 protein(display_long)|uniprotkb:C4orf24(gene name synonym)|uniprotkb:BBS12(gene name)	psi-mi:mkks_human(display_short)|psi-mi:Molecular chaperone MKKS(display_long)|uniprotkb:Mkks(gene name)|uniprotkb:McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin(gene name synonym)|uniprotkb:Bbs6(gene name synonym)|uniprotkb:Bardet-Biedl syndrome 6 protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Seo S. et al.(2010)	intact:EBI-15826730|doi:10.1073/pnas.0910268107|pubmed:20080638|imex:IM-21310	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15827166|dip:DIP-191304E|imex:IM-21310-19	intact-miscore:0.83
